current_prefix,target_prefix,artifact_class,target_stage,migration_status,notes
gs://miamioh-resa-data/CapstoneData/raw-data/,gs://miamioh-resa-data/CapstoneData/raw/,legacy_root,raw,planned,"Verified 2026-08-25. Keep as compatibility alias until all children are migrated."
gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/,gs://miamioh-resa-data/CapstoneData/raw/sessions/,legacy_raw_group_root,raw,planned,"Verified 2026-08-25. Source root for raw session groups dataset1..4."
gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset1/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset1/,raw_session_group,raw,planned,"Exact 1-to-1 prefix mapping. Descriptive dataset_id still provisional; preserve legacy_dataset_name=dataset1 in manifest rows."
gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset2/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset2/,raw_session_group,raw,planned,"Exact 1-to-1 prefix mapping. May-11-heavy session group. Descriptive dataset_id still provisional."
gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset3/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset3/,raw_session_group,raw,planned,"Exact 1-to-1 prefix mapping. Mixed April 21-22 and May 11 sessions appear in current listing; do not collapse or deduplicate without manifest review."
gs://miamioh-resa-data/CapstoneData/raw-data/raw_session_extracts/dataset4/,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_legacy_dataset4/,raw_session_group,raw,planned,"Exact 1-to-1 prefix mapping. April 10-12 session group."
gs://miamioh-resa-data/CapstoneData/colab_outputs/,gs://miamioh-resa-data/CapstoneData/intermediate/,legacy_root,intermediate,planned,"Verified 2026-08-25. Not all children belong at the intermediate stage; some promote to curated or published below."
gs://miamioh-resa-data/CapstoneData/colab_outputs/branch1_preprocess_stages/,gs://miamioh-resa-data/CapstoneData/intermediate/radar_processing/branch1_preprocess_stages/,intermediate_pipeline,intermediate,planned,"Legacy notebook-oriented staging prefix."
gs://miamioh-resa-data/CapstoneData/colab_outputs/branch3_replay_decision_eval/,gs://miamioh-resa-data/CapstoneData/intermediate/replay_eval/branch3_replay_decision_eval/,replay_eval,intermediate,planned,"Verified prefix exists but simple recursive probe returned effectively empty. Do not delete until full object inventory confirms emptiness."
gs://miamioh-resa-data/CapstoneData/colab_outputs/branch3_replay_eval_stages/,gs://miamioh-resa-data/CapstoneData/intermediate/replay_eval/branch3_replay_eval_stages/,replay_eval_stage,intermediate,planned,"Verified prefix exists but only marker was observed. Preserve until explicitly retired."
gs://miamioh-resa-data/CapstoneData/colab_outputs/final_branch1_rdra_retrain_v2/,gs://miamioh-resa-data/CapstoneData/published/branch1/checkpoints/final_branch1_rdra_retrain_v2/,published_checkpoint_root,published,planned,"Contains current live Branch 1 checkpoint directories."
gs://miamioh-resa-data/CapstoneData/colab_outputs/final_branch1_rdra_retrain_v2/models/,gs://miamioh-resa-data/CapstoneData/published/branch1/checkpoints/,published_checkpoint_root,published,planned,"Verified models subtree with two live checkpoint directories."
gs://miamioh-resa-data/CapstoneData/colab_outputs/final_branch3_unet_retrain/,gs://miamioh-resa-data/CapstoneData/published/branch3/checkpoints/final_branch3_unet_retrain/,published_checkpoint_root,published,planned,"Contains current live Branch 3 U-Net checkpoint subtree."
gs://miamioh-resa-data/CapstoneData/colab_outputs/final_branch3_unet_retrain/models/,gs://miamioh-resa-data/CapstoneData/published/branch3/checkpoints/,published_checkpoint_root,published,planned,"Verified models subtree with branch3_unet_may11_apr28_v2/unet_best_model.pt."
gs://miamioh-resa-data/CapstoneData/colab_outputs/full_branch1_rdra_dataset/,gs://miamioh-resa-data/CapstoneData/intermediate/radar_processing/full_branch1_rdra_dataset/,dataset_build_artifact,intermediate,planned,"Keep rebuildable unless a specific frozen export is known to be notebook-facing."
gs://miamioh-resa-data/CapstoneData/colab_outputs/full_branch1_rdra_dataset_v2/,gs://miamioh-resa-data/CapstoneData/intermediate/radar_processing/full_branch1_rdra_dataset_v2/,dataset_build_artifact,intermediate,planned,"Keep rebuildable unless a specific frozen export is known to be notebook-facing."
gs://miamioh-resa-data/CapstoneData/colab_outputs/logs/,gs://miamioh-resa-data/CapstoneData/intermediate/logs/,logs,intermediate,planned,"Legacy run logs."
gs://miamioh-resa-data/CapstoneData/colab_outputs/processed_training_ready_sessions/,gs://miamioh-resa-data/CapstoneData/curated/sessions/ AND gs://miamioh-resa-data/CapstoneData/published/branch1/datasets/,mixed_role_prefix,curated_or_published,requires_split,"Verified prefix exists, but dataset2/, dataset5_compressed/, data5-11/, and data-4-30_Processing/ matched no objects on 2026-08-25. Treat as stale or placeholder until a full object-level inventory proves otherwise."
gs://miamioh-resa-data/CapstoneData/colab_outputs/rigorous_preprocess_audit/,gs://miamioh-resa-data/CapstoneData/intermediate/audits/,audit,intermediate,planned,"Verified files include processed_raw_audit.csv, processed_upload_manifest.csv, and staged_sessions.csv."
gs://miamioh-resa-data/CapstoneData/colab_outputs/rigorous_preprocess_stages/,gs://miamioh-resa-data/CapstoneData/intermediate/radar_processing/rigorous_preprocess_stages/,intermediate_pipeline,intermediate,planned,"Parent for OneFormer inputs and outputs."
gs://miamioh-resa-data/CapstoneData/colab_outputs/rigorous_preprocess_stages/oneformer_inputs/,gs://miamioh-resa-data/CapstoneData/intermediate/oneformer/inputs/,oneformer_input,intermediate,planned,"Exact prefix-level mapping."
gs://miamioh-resa-data/CapstoneData/colab_outputs/rigorous_preprocess_stages/oneformer_outputs/,gs://miamioh-resa-data/CapstoneData/intermediate/oneformer/outputs/,oneformer_output,intermediate,planned,"Exact prefix-level mapping. Verified batches 0001..0007 exist."
gs://miamioh-resa-data/CapstoneData/local/,gs://miamioh-resa-data/CapstoneData/local/,local_workspace,local,retain,"Leave outside the data-lifecycle migration. This is a convenience workspace, not canonical dataset storage."
gs://miamioh-resa-data/CapstoneData/code/,gs://miamioh-resa-data/CapstoneData/code/,code,code,retain,"Leave outside the data-lifecycle migration. Code storage is governed separately from data storage."
